Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
mol_83_0_0	mol_83	0.262	0.224	0.038	0.447	0.374	0.073	0.432	0.358	0.074	1383.97
mol_61_0_0	mol_61	0.262	0.234	0.028	0.43	0.375	0.055	0.438	0.383	0.055	1484.147
mol_93_0_4	mol_93	0.262	0.219	0.042	0.421	0.344	0.077	0.463	0.378	0.086	1470.163
mol_75_0_0	mol_75	0.261	0.206	0.055	0.441	0.339	0.103	0.451	0.345	0.106	1337.599
mol_35_0_4	mol_35	0.261	0.236	0.025	0.421	0.376	0.046	0.441	0.389	0.052	1508.82
mol_4_0_4	mol_4	0.261	0.222	0.039	0.455	0.377	0.078	0.423	0.351	0.072	1352.755
mol_65_0_4	mol_65	0.261	0.223	0.038	0.444	0.373	0.071	0.432	0.357	0.075	1378.615
mol_57_0_4	mol_57	0.261	0.198	0.062	0.456	0.337	0.119	0.441	0.325	0.116	1256.804
mol_51_0_4	mol_51	0.26	0.25	0.01	0.429	0.408	0.021	0.411	0.391	0.02	1512.487
mol_40_0_3	mol_40	0.26	0.198	0.062	0.426	0.314	0.112	0.471	0.348	0.123	1355.784
mol_38_0_1	mol_38	0.26	0.218	0.042	0.422	0.344	0.078	0.456	0.372	0.084	1448.476
mol_87_0_0	mol_87	0.259	0.206	0.054	0.45	0.347	0.103	0.436	0.336	0.101	1297.68
mol_98_0_2	mol_98	0.259	0.213	0.046	0.427	0.343	0.084	0.452	0.359	0.093	1393.912
mol_62_0_1	mol_62	0.259	0.226	0.033	0.45	0.383	0.067	0.417	0.355	0.062	1367.974
mol_38_0_3	mol_38	0.258	0.201	0.057	0.427	0.323	0.105	0.461	0.348	0.113	1355.094
mol_26_0_4	mol_26	0.258	0.223	0.035	0.439	0.37	0.068	0.427	0.36	0.067	1390.746
mol_60_0_3	mol_60	0.258	0.2	0.058	0.446	0.337	0.109	0.44	0.33	0.109	1278.247
mol_99_0_1	mol_99	0.256	0.241	0.016	0.425	0.394	0.031	0.412	0.382	0.03	1475.395
mol_70_0_1	mol_70	0.256	0.228	0.027	0.422	0.369	0.053	0.428	0.375	0.053	1454.653
mol_24_0_2	mol_24	0.256	0.23	0.026	0.411	0.362	0.049	0.438	0.386	0.052	1501.751
mol_85_0_0	mol_85	0.256	0.226	0.03	0.393	0.339	0.054	0.466	0.404	0.063	1579.449
mol_26_0_0	mol_26	0.256	0.212	0.044	0.44	0.355	0.085	0.427	0.345	0.083	1332.015
mol_53_0_0	mol_53	0.255	0.213	0.042	0.417	0.339	0.078	0.448	0.366	0.082	1421.67
mol_51_0_1	mol_51	0.255	0.211	0.043	0.442	0.357	0.085	0.422	0.341	0.081	1318.952
mol_22_0_0	mol_22	0.254	0.196	0.058	0.456	0.342	0.114	0.42	0.315	0.105	1214.19
mol_16_0_4	mol_16	0.254	0.222	0.032	0.418	0.359	0.059	0.434	0.366	0.068	1420.558
mol_99_0_4	mol_99	0.254	0.219	0.035	0.432	0.364	0.069	0.421	0.354	0.067	1367.398
mol_39_0_1	mol_39	0.253	0.23	0.023	0.429	0.383	0.046	0.409	0.365	0.044	1410.103
mol_58_0_3	mol_58	0.252	0.195	0.058	0.444	0.333	0.112	0.425	0.319	0.106	1233.153
mol_54_0_1	mol_54	0.252	0.199	0.053	0.418	0.32	0.098	0.448	0.345	0.103	1343.057
mol_79_0_3	mol_79	0.252	0.209	0.043	0.425	0.344	0.081	0.43	0.347	0.083	1345.33
mol_98_0_1	mol_98	0.251	0.214	0.037	0.413	0.345	0.068	0.436	0.361	0.075	1400.932
mol_33_0_2	mol_33	0.251	0.235	0.016	0.417	0.387	0.03	0.408	0.374	0.033	1447.003
mol_93_0_2	mol_93	0.251	0.205	0.046	0.408	0.325	0.083	0.45	0.357	0.093	1390.348
mol_87_0_3	mol_87	0.25	0.184	0.066	0.442	0.316	0.126	0.429	0.306	0.123	1182.545
mol_33_0_3	mol_33	0.25	0.227	0.023	0.419	0.376	0.043	0.411	0.364	0.047	1406.131
mol_76_0_1	mol_76	0.25	0.22	0.03	0.418	0.36	0.058	0.419	0.361	0.058	1399.267
mol_40_0_4	mol_40	0.25	0.224	0.026	0.396	0.348	0.049	0.439	0.385	0.053	1501.606
mol_56_0_4	mol_56	0.25	0.212	0.038	0.443	0.367	0.076	0.404	0.334	0.07	1285.499
mol_99_0_0	mol_99	0.25	0.206	0.043	0.432	0.348	0.084	0.419	0.336	0.082	1299.927
mol_97_0_4	mol_97	0.249	0.227	0.023	0.39	0.349	0.04	0.442	0.392	0.05	1529.401
mol_66_0_3	mol_66	0.249	0.232	0.018	0.419	0.384	0.035	0.403	0.369	0.034	1424.294
mol_40_0_0	mol_40	0.249	0.213	0.037	0.401	0.333	0.068	0.444	0.37	0.075	1440.541
mol_79_0_0	mol_79	0.249	0.226	0.024	0.412	0.366	0.046	0.417	0.37	0.047	1434.8
mol_10_0_0	mol_10	0.249	0.2	0.049	0.421	0.332	0.089	0.433	0.336	0.097	1303.195
mol_11_0_3	mol_11	0.249	0.203	0.046	0.433	0.343	0.09	0.419	0.331	0.088	1280.616
mol_58_0_2	mol_58	0.249	0.215	0.033	0.429	0.362	0.066	0.41	0.347	0.063	1340.711
mol_84_0_2	mol_84	0.249	0.22	0.029	0.412	0.359	0.053	0.421	0.362	0.059	1403.615
mol_71_0_4	mol_71	0.249	0.233	0.016	0.415	0.383	0.032	0.403	0.372	0.031	1437.149
mol_39_0_2	mol_39	0.249	0.214	0.035	0.429	0.361	0.069	0.41	0.345	0.065	1331.88
mol_99_0_3	mol_99	0.248	0.207	0.041	0.429	0.349	0.08	0.416	0.338	0.078	1306.87
mol_54_0_3	mol_54	0.248	0.197	0.051	0.412	0.318	0.094	0.442	0.343	0.099	1333.392
mol_10_0_1	mol_10	0.248	0.219	0.028	0.41	0.357	0.053	0.42	0.362	0.058	1403.59
mol_35_0_1	mol_35	0.247	0.219	0.028	0.404	0.353	0.052	0.425	0.366	0.059	1418.267
mol_82_0_0	mol_82	0.247	0.223	0.024	0.419	0.371	0.048	0.405	0.359	0.046	1385.938
mol_56_0_0	mol_56	0.247	0.217	0.029	0.434	0.375	0.059	0.396	0.341	0.055	1314.262
mol_96_0_2	mol_96	0.247	0.212	0.035	0.42	0.351	0.069	0.415	0.348	0.067	1345.728
mol_89_0_1	mol_89	0.247	0.221	0.026	0.435	0.383	0.053	0.391	0.344	0.048	1323.353
mol_81_0_1	mol_81	0.246	0.192	0.054	0.394	0.298	0.096	0.461	0.35	0.11	1370.418
mol_17_0_1	mol_17	0.246	0.234	0.012	0.409	0.384	0.025	0.397	0.373	0.024	1442.775
mol_43_0_2	mol_43	0.246	0.206	0.04	0.407	0.334	0.073	0.429	0.35	0.079	1359.167
mol_33_0_1	mol_33	0.246	0.236	0.01	0.407	0.388	0.019	0.396	0.375	0.021	1450.262
mol_41_0_4	mol_41	0.246	0.191	0.055	0.427	0.322	0.105	0.421	0.319	0.102	1233.912
mol_35_0_2	mol_35	0.245	0.213	0.032	0.403	0.344	0.058	0.424	0.357	0.067	1386.893
mol_51_0_3	mol_51	0.245	0.212	0.033	0.423	0.358	0.065	0.404	0.342	0.062	1321.737
mol_47_0_2	mol_47	0.244	0.206	0.038	0.439	0.361	0.078	0.394	0.324	0.07	1248.259
mol_92_0_4	mol_92	0.244	0.215	0.03	0.394	0.339	0.055	0.43	0.369	0.06	1438.041
mol_43_0_0	mol_43	0.244	0.202	0.042	0.405	0.329	0.077	0.428	0.344	0.084	1336.513
mol_65_0_3	mol_65	0.244	0.213	0.03	0.416	0.359	0.057	0.405	0.345	0.061	1332.171
mol_27_0_1	mol_27	0.244	0.187	0.056	0.405	0.303	0.103	0.44	0.33	0.111	1283.082
mol_60_0_4	mol_60	0.243	0.193	0.05	0.421	0.326	0.095	0.417	0.321	0.096	1243.045
mol_45_0_0	mol_45	0.242	0.222	0.021	0.407	0.365	0.041	0.401	0.36	0.04	1394.405
mol_40_0_2	mol_40	0.242	0.206	0.037	0.392	0.324	0.068	0.435	0.36	0.075	1402.509
mol_24_0_1	mol_24	0.242	0.205	0.037	0.399	0.33	0.069	0.426	0.352	0.074	1369.482
mol_27_0_2	mol_27	0.242	0.204	0.038	0.395	0.325	0.07	0.43	0.354	0.076	1377.516
mol_63_0_4	mol_63	0.241	0.224	0.017	0.395	0.364	0.03	0.404	0.368	0.036	1426.328
mol_84_0_3	mol_84	0.24	0.205	0.036	0.403	0.338	0.065	0.415	0.342	0.072	1326.695
mol_24_0_3	mol_24	0.24	0.208	0.032	0.394	0.333	0.06	0.421	0.356	0.065	1384.831
mol_88_0_4	mol_88	0.24	0.224	0.016	0.396	0.364	0.032	0.4	0.367	0.033	1423.478
mol_63_0_0	mol_63	0.24	0.204	0.036	0.401	0.337	0.064	0.416	0.34	0.076	1318.766
mol_26_0_2	mol_26	0.24	0.219	0.02	0.405	0.365	0.04	0.394	0.355	0.039	1373.029
mol_91_0_4	mol_91	0.239	0.203	0.036	0.389	0.324	0.065	0.428	0.352	0.076	1367.609
mol_10_0_4	mol_10	0.239	0.223	0.016	0.392	0.362	0.03	0.399	0.367	0.032	1421.728
mol_46_0_0	mol_46	0.238	0.224	0.014	0.4	0.372	0.028	0.387	0.36	0.027	1390.885
mol_61_0_2	mol_61	0.238	0.22	0.017	0.392	0.357	0.034	0.399	0.365	0.034	1414.232
mol_94_0_2	mol_94	0.237	0.207	0.03	0.392	0.334	0.058	0.411	0.351	0.06	1364.998
mol_55_0_3	mol_55	0.237	0.182	0.055	0.39	0.29	0.099	0.438	0.328	0.11	1279.395
mol_37_0_1	mol_37	0.236	0.192	0.044	0.398	0.314	0.084	0.416	0.33	0.086	1282.64
mol_15_0_1	mol_15	0.236	0.209	0.026	0.405	0.354	0.051	0.39	0.339	0.051	1308.393
mol_36_0_1	mol_36	0.235	0.216	0.02	0.399	0.36	0.039	0.388	0.35	0.038	1353.218
mol_74_0_2	mol_74	0.235	0.193	0.041	0.396	0.318	0.078	0.411	0.331	0.08	1283.363
mol_44_0_4	mol_44	0.234	0.19	0.044	0.423	0.335	0.088	0.387	0.306	0.081	1177.942
mol_86_0_0	mol_86	0.234	0.194	0.041	0.413	0.333	0.08	0.393	0.317	0.076	1223.142
mol_17_0_0	mol_17	0.234	0.2	0.034	0.405	0.339	0.067	0.393	0.328	0.065	1268.831
mol_69_0_3	mol_69	0.234	0.204	0.03	0.403	0.346	0.057	0.39	0.332	0.058	1282.664
mol_94_0_3	mol_94	0.234	0.203	0.03	0.388	0.33	0.058	0.406	0.346	0.06	1344.129
mol_84_0_0	mol_84	0.233	0.215	0.019	0.386	0.352	0.035	0.393	0.355	0.038	1375.123
mol_55_0_1	mol_55	0.232	0.193	0.039	0.377	0.305	0.071	0.423	0.345	0.078	1344.979
mol_61_0_1	mol_61	0.231	0.22	0.012	0.38	0.356	0.023	0.387	0.364	0.023	1411.084
mol_43_0_4	mol_43	0.231	0.207	0.024	0.381	0.335	0.045	0.4	0.351	0.049	1361.142
mol_15_0_3	mol_15	0.231	0.218	0.013	0.391	0.366	0.025	0.376	0.35	0.026	1352.135
mol_63_0_1	mol_63	0.231	0.211	0.02	0.383	0.347	0.036	0.392	0.35	0.042	1355.885
mol_11_0_0	mol_11	0.231	0.195	0.036	0.402	0.331	0.07	0.389	0.321	0.068	1238.925
mol_21_0_1	mol_21	0.23	0.216	0.014	0.394	0.368	0.026	0.372	0.344	0.028	1327.939
mol_68_0_4	mol_68	0.229	0.195	0.035	0.413	0.343	0.07	0.375	0.31	0.065	1194.678
mol_16_0_3	mol_16	0.229	0.195	0.034	0.385	0.323	0.062	0.401	0.33	0.071	1278.107
mol_88_0_2	mol_88	0.229	0.2	0.029	0.387	0.331	0.055	0.392	0.335	0.057	1298.691
mol_15_0_2	mol_15	0.228	0.204	0.024	0.393	0.347	0.046	0.378	0.332	0.046	1281.275
mol_97_0_3	mol_97	0.227	0.186	0.042	0.368	0.296	0.073	0.423	0.332	0.09	1296.378
mol_94_0_4	mol_94	0.226	0.195	0.03	0.377	0.319	0.058	0.395	0.335	0.059	1301.316
mol_27_0_4	mol_27	0.225	0.194	0.031	0.37	0.311	0.059	0.403	0.34	0.063	1321.672
mol_10_0_2	mol_10	0.225	0.185	0.041	0.385	0.309	0.075	0.396	0.314	0.082	1216.168
mol_8_0_1	mol_8	0.225	0.202	0.023	0.384	0.338	0.046	0.379	0.334	0.045	1291.921
mol_91_0_0	mol_91	0.225	0.186	0.039	0.371	0.301	0.07	0.408	0.326	0.082	1269.114
mol_72_0_4	mol_72	0.224	0.197	0.027	0.377	0.325	0.051	0.387	0.332	0.055	1288.654
mol_3_0_4	mol_3	0.223	0.196	0.027	0.378	0.325	0.053	0.384	0.332	0.053	1285.786
mol_87_0_2	mol_87	0.223	0.204	0.02	0.383	0.344	0.039	0.371	0.333	0.038	1287.954
mol_43_0_3	mol_43	0.223	0.198	0.026	0.371	0.323	0.048	0.39	0.338	0.052	1311.129
mol_27_0_3	mol_27	0.223	0.195	0.028	0.366	0.313	0.053	0.398	0.341	0.057	1325.899
mol_33_0_4	mol_33	0.223	0.203	0.02	0.381	0.344	0.037	0.373	0.332	0.041	1284.117
mol_93_0_1	mol_93	0.222	0.209	0.013	0.355	0.33	0.025	0.39	0.362	0.028	1408.09
mol_31_0_3	mol_31	0.221	0.193	0.028	0.383	0.331	0.052	0.375	0.317	0.058	1222.679
mol_85_0_2	mol_85	0.221	0.192	0.028	0.348	0.297	0.051	0.413	0.354	0.059	1385.183
mol_28_0_4	mol_28	0.22	0.199	0.021	0.369	0.328	0.041	0.379	0.337	0.042	1308.054
mol_54_0_0	mol_54	0.218	0.199	0.02	0.357	0.319	0.037	0.384	0.345	0.039	1340.803
mol_92_0_2	mol_92	0.217	0.189	0.028	0.357	0.305	0.052	0.39	0.333	0.057	1295.194
mol_35_0_3	mol_35	0.217	0.191	0.026	0.362	0.315	0.047	0.382	0.327	0.055	1268.508
mol_92_0_3	mol_92	0.217	0.19	0.027	0.356	0.306	0.051	0.389	0.334	0.056	1298.198
mol_17_0_2	mol_17	0.216	0.203	0.013	0.369	0.343	0.026	0.358	0.332	0.026	1285.0
mol_81_0_2	mol_81	0.216	0.175	0.041	0.349	0.276	0.073	0.409	0.325	0.084	1269.118
mol_96_0_1	mol_96	0.215	0.199	0.015	0.365	0.334	0.031	0.361	0.331	0.03	1280.424
mol_37_0_0	mol_37	0.215	0.194	0.021	0.358	0.317	0.04	0.374	0.332	0.041	1289.76
mol_10_0_3	mol_10	0.215	0.191	0.024	0.363	0.318	0.045	0.371	0.322	0.049	1249.523
mol_43_0_1	mol_43	0.214	0.175	0.038	0.363	0.292	0.071	0.382	0.305	0.077	1184.958
mol_34_0_0	mol_34	0.214	0.185	0.028	0.37	0.314	0.056	0.365	0.311	0.055	1203.137
mol_98_0_0	mol_98	0.213	0.183	0.031	0.358	0.302	0.056	0.379	0.316	0.063	1227.23
mol_85_0_1	mol_85	0.213	0.198	0.014	0.331	0.304	0.027	0.393	0.363	0.031	1419.35
mol_46_0_2	mol_46	0.212	0.193	0.019	0.368	0.329	0.039	0.356	0.318	0.038	1229.662
mol_20_0_4	mol_20	0.212	0.196	0.016	0.368	0.337	0.031	0.352	0.32	0.032	1235.626
mol_73_0_1	mol_73	0.212	0.188	0.024	0.362	0.316	0.047	0.363	0.318	0.045	1230.504
mol_73_0_0	mol_73	0.21	0.198	0.013	0.355	0.329	0.025	0.356	0.331	0.025	1281.751
mol_70_0_0	mol_70	0.208	0.178	0.03	0.358	0.299	0.059	0.364	0.305	0.059	1181.473
mol_73_0_3	mol_73	0.207	0.186	0.021	0.355	0.312	0.043	0.357	0.315	0.042	1220.753
mol_81_0_0	mol_81	0.206	0.176	0.03	0.332	0.277	0.055	0.389	0.326	0.063	1276.04
mol_40_0_1	mol_40	0.205	0.175	0.03	0.34	0.283	0.056	0.376	0.314	0.062	1223.66
mol_72_0_1	mol_72	0.203	0.183	0.02	0.345	0.307	0.038	0.353	0.313	0.04	1213.333
mol_76_0_4	mol_76	0.201	0.177	0.025	0.348	0.3	0.048	0.349	0.3	0.048	1163.518
mol_97_0_0	mol_97	0.201	0.177	0.024	0.326	0.284	0.042	0.371	0.319	0.052	1244.142
mol_19_0_0	mol_19	0.201	0.166	0.035	0.341	0.276	0.064	0.363	0.294	0.069	1142.471
mol_54_0_4	mol_54	0.2	0.179	0.021	0.333	0.292	0.041	0.359	0.316	0.043	1230.652
mol_74_0_3	mol_74	0.195	0.162	0.033	0.337	0.273	0.064	0.349	0.283	0.065	1100.122
mol_16_0_0	mol_16	0.194	0.181	0.013	0.328	0.304	0.025	0.338	0.31	0.028	1201.127
mol_38_0_2	mol_38	0.194	0.173	0.021	0.324	0.284	0.04	0.35	0.307	0.043	1194.755
mol_48_0_2	mol_48	0.188	0.163	0.024	0.32	0.274	0.046	0.337	0.288	0.049	1118.579
mol_92_0_1	mol_92	0.185	0.152	0.033	0.314	0.253	0.061	0.344	0.276	0.068	1073.957
mol_78_0_2	mol_78	0.185	0.17	0.015	0.308	0.28	0.028	0.333	0.303	0.029	1179.094
mol_85_0_3	mol_85	0.185	0.165	0.02	0.297	0.261	0.036	0.353	0.311	0.042	1217.424
mol_27_0_0	mol_27	0.179	0.163	0.016	0.299	0.269	0.03	0.326	0.293	0.033	1142.098
mol_85_0_4	mol_85	0.177	0.139	0.038	0.293	0.224	0.069	0.348	0.268	0.08	1048.763
mol_55_0_2	mol_55	0.171	0.147	0.024	0.287	0.242	0.045	0.323	0.273	0.05	1063.587
